treatment,date,jobdate,sampleid,imageid,filename,frame,parameter,roi,frame_avg,yii_avg,npq_avg,yii_std,npq_std,plantarea,obj_in_frame,unique_roi,gtype
control,2019-08-04,2019-08-04,tray5,18,diy_data\pimframes\control-20190804-tray5-18.tif,Fmp,t140_ALon,2,37.0220,0.1279,1.9022,0.0755,0.7848,56.2800,True,True,stn7
control,2019-08-04,2019-08-04,tray5,18,diy_data\pimframes\control-20190804-tray5-18.tif,Fmp,t140_ALon,3,43.6992,0.1064,1.7774,0.0727,0.5017,83.1200,True,True,wt
control,2019-08-04,2019-08-04,tray5,18,diy_data\pimframes\control-20190804-tray5-18.tif,Fmp,t140_ALon,4,38.8224,0.0890,1.7544,0.0770,0.6835,43.4800,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,18,diy_data\pimframes\control-20190804-tray5-18.tif,Fmp,t140_ALon,5,41.4787,0.1094,1.7104,0.0715,0.4836,47.0400,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,18,diy_data\pimframes\control-20190804-tray5-18.tif,Fmp,t140_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-08-04,2019-08-04,tray5,18,diy_data\pimframes\control-20190804-tray5-18.tif,Fmp,t140_ALon,7,41.7244,0.1095,1.7559,0.0822,0.3668,72.2800,True,True,kea3
control,2019-08-04,2019-08-04,tray5,18,diy_data\pimframes\control-20190804-tray5-18.tif,Fmp,t140_ALon,8,40.2796,0.1130,1.7406,0.0885,0.4868,59.5200,True,True,kea3
control,2019-08-04,2019-08-04,tray5,19,diy_data\pimframes\control-20190804-tray5-19.tif,Fp,t160_ALon,0,35.5725,0.1399,1.7869,0.0754,0.6569,78.3200,True,True,wt
control,2019-08-04,2019-08-04,tray5,19,diy_data\pimframes\control-20190804-tray5-19.tif,Fp,t160_ALon,1,31.6624,0.1267,1.8717,0.0742,0.6435,59.6000,True,True,stn7
control,2019-08-04,2019-08-04,tray5,19,diy_data\pimframes\control-20190804-tray5-19.tif,Fp,t160_ALon,2,31.1379,0.1493,1.9284,0.0813,0.7604,56.2800,True,True,stn7
control,2019-08-04,2019-08-04,tray5,19,diy_data\pimframes\control-20190804-tray5-19.tif,Fp,t160_ALon,3,38.0183,0.1231,1.8050,0.0745,0.4068,83.1200,True,True,wt
control,2019-08-04,2019-08-04,tray5,19,diy_data\pimframes\control-20190804-tray5-19.tif,Fp,t160_ALon,4,33.8307,0.1030,1.8910,0.0801,0.9030,43.4800,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,19,diy_data\pimframes\control-20190804-tray5-19.tif,Fp,t160_ALon,5,35.2755,0.1290,1.8014,0.0747,0.6437,47.0400,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,19,diy_data\pimframes\control-20190804-tray5-19.tif,Fp,t160_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-08-04,2019-08-04,tray5,19,diy_data\pimframes\control-20190804-tray5-19.tif,Fp,t160_ALon,7,35.8013,0.1204,1.8518,0.0780,0.4730,72.2800,True,True,kea3
control,2019-08-04,2019-08-04,tray5,19,diy_data\pimframes\control-20190804-tray5-19.tif,Fp,t160_ALon,8,34.3831,0.1288,1.8291,0.0989,0.4758,59.5200,True,True,kea3
control,2019-08-04,2019-08-04,tray5,20,diy_data\pimframes\control-20190804-tray5-20.tif,Fmp,t160_ALon,0,41.3243,0.1399,1.7869,0.0754,0.6569,78.3200,True,True,wt
control,2019-08-04,2019-08-04,tray5,20,diy_data\pimframes\control-20190804-tray5-20.tif,Fmp,t160_ALon,1,36.2517,0.1267,1.8717,0.0742,0.6435,59.6000,True,True,stn7
control,2019-08-04,2019-08-04,tray5,20,diy_data\pimframes\control-20190804-tray5-20.tif,Fmp,t160_ALon,2,36.6318,0.1493,1.9284,0.0813,0.7604,56.2800,True,True,stn7
control,2019-08-04,2019-08-04,tray5,20,diy_data\pimframes\control-20190804-tray5-20.tif,Fmp,t160_ALon,3,43.2363,0.1231,1.8050,0.0745,0.4068,83.1200,True,True,wt
control,2019-08-04,2019-08-04,tray5,20,diy_data\pimframes\control-20190804-tray5-20.tif,Fmp,t160_ALon,4,37.5299,0.1030,1.8910,0.0801,0.9030,43.4800,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,20,diy_data\pimframes\control-20190804-tray5-20.tif,Fmp,t160_ALon,5,40.4252,0.1290,1.8014,0.0747,0.6437,47.0400,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,20,diy_data\pimframes\control-20190804-tray5-20.tif,Fmp,t160_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-08-04,2019-08-04,tray5,20,diy_data\pimframes\control-20190804-tray5-20.tif,Fmp,t160_ALon,7,40.6182,0.1204,1.8518,0.0780,0.4730,72.2800,True,True,kea3
control,2019-08-04,2019-08-04,tray5,20,diy_data\pimframes\control-20190804-tray5-20.tif,Fmp,t160_ALon,8,39.1028,0.1288,1.8291,0.0989,0.4758,59.5200,True,True,kea3
control,2019-08-04,2019-08-04,tray5,21,diy_data\pimframes\control-20190804-tray5-21.tif,Fp,t180_ALon,0,34.6118,0.1584,1.8012,0.0729,0.6851,78.3200,True,True,wt
control,2019-08-04,2019-08-04,tray5,21,diy_data\pimframes\control-20190804-tray5-21.tif,Fp,t180_ALon,1,31.0564,0.1457,1.8463,0.0772,0.5179,59.6000,True,True,stn7
control,2019-08-04,2019-08-04,tray5,21,diy_data\pimframes\control-20190804-tray5-21.tif,Fp,t180_ALon,2,30.3099,0.1594,2.0071,0.0823,1.0746,56.2800,True,True,stn7
control,2019-08-04,2019-08-04,tray5,21,diy_data\pimframes\control-20190804-tray5-21.tif,Fp,t180_ALon,3,36.9293,0.1394,1.8493,0.0755,0.7440,83.1200,True,True,wt
control,2019-08-04,2019-08-04,tray5,21,diy_data\pimframes\control-20190804-tray5-21.tif,Fp,t180_ALon,4,32.6707,0.1176,1.9264,0.0788,0.8018,43.4800,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,21,diy_data\pimframes\control-20190804-tray5-21.tif,Fp,t180_ALon,5,34.0952,0.1484,1.8540,0.0801,0.8169,47.0400,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,21,diy_data\pimframes\control-20190804-tray5-21.tif,Fp,t180_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-08-04,2019-08-04,tray5,21,diy_data\pimframes\control-20190804-tray5-21.tif,Fp,t180_ALon,7,34.4737,0.1384,1.8944,0.0826,0.4096,72.2800,True,True,kea3
control,2019-08-04,2019-08-04,tray5,21,diy_data\pimframes\control-20190804-tray5-21.tif,Fp,t180_ALon,8,33.1089,0.1441,1.8887,0.1012,0.5813,59.5200,True,True,kea3
control,2019-08-04,2019-08-04,tray5,22,diy_data\pimframes\control-20190804-tray5-22.tif,Fmp,t180_ALon,0,41.1578,0.1584,1.8012,0.0729,0.6851,78.3200,True,True,wt
control,2019-08-04,2019-08-04,tray5,22,diy_data\pimframes\control-20190804-tray5-22.tif,Fmp,t180_ALon,1,36.4255,0.1457,1.8463,0.0772,0.5179,59.6000,True,True,stn7
control,2019-08-04,2019-08-04,tray5,22,diy_data\pimframes\control-20190804-tray5-22.tif,Fmp,t180_ALon,2,36.1222,0.1594,2.0071,0.0823,1.0746,56.2800,True,True,stn7
control,2019-08-04,2019-08-04,tray5,22,diy_data\pimframes\control-20190804-tray5-22.tif,Fmp,t180_ALon,3,42.8114,0.1394,1.8493,0.0755,0.7440,83.1200,True,True,wt
control,2019-08-04,2019-08-04,tray5,22,diy_data\pimframes\control-20190804-tray5-22.tif,Fmp,t180_ALon,4,36.8868,0.1176,1.9264,0.0788,0.8018,43.4800,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,22,diy_data\pimframes\control-20190804-tray5-22.tif,Fmp,t180_ALon,5,39.9337,0.1484,1.8540,0.0801,0.8169,47.0400,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,22,diy_data\pimframes\control-20190804-tray5-22.tif,Fmp,t180_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-08-04,2019-08-04,tray5,22,diy_data\pimframes\control-20190804-tray5-22.tif,Fmp,t180_ALon,7,39.9247,0.1384,1.8944,0.0826,0.4096,72.2800,True,True,kea3
control,2019-08-04,2019-08-04,tray5,22,diy_data\pimframes\control-20190804-tray5-22.tif,Fmp,t180_ALon,8,38.4422,0.1441,1.8887,0.1012,0.5813,59.5200,True,True,kea3
control,2019-08-04,2019-08-04,tray5,23,diy_data\pimframes\control-20190804-tray5-23.tif,Fp,t200_ALon,0,33.6073,0.1744,1.8342,0.0805,0.6594,78.3200,True,True,wt
control,2019-08-04,2019-08-04,tray5,23,diy_data\pimframes\control-20190804-tray5-23.tif,Fp,t200_ALon,1,30.3638,0.1604,1.8505,0.0780,0.4954,59.6000,True,True,stn7
control,2019-08-04,2019-08-04,tray5,23,diy_data\pimframes\control-20190804-tray5-23.tif,Fp,t200_ALon,2,29.3419,0.1741,2.0408,0.0884,0.9397,56.2800,True,True,stn7
control,2019-08-04,2019-08-04,tray5,23,diy_data\pimframes\control-20190804-tray5-23.tif,Fp,t200_ALon,3,35.9134,0.1564,1.8524,0.0755,0.3969,83.1200,True,True,wt
control,2019-08-04,2019-08-04,tray5,23,diy_data\pimframes\control-20190804-tray5-23.tif,Fp,t200_ALon,4,31.6734,0.1323,1.9848,0.0840,0.8704,43.4800,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,23,diy_data\pimframes\control-20190804-tray5-23.tif,Fp,t200_ALon,5,33.1531,0.1625,1.9008,0.0821,0.7593,47.0400,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,23,diy_data\pimframes\control-20190804-tray5-23.tif,Fp,t200_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-08-04,2019-08-04,tray5,23,diy_data\pimframes\control-20190804-tray5-23.tif,Fp,t200_ALon,7,33.3132,0.1528,1.9461,0.0856,0.4390,72.2800,True,True,kea3
control,2019-08-04,2019-08-04,tray5,23,diy_data\pimframes\control-20190804-tray5-23.tif,Fp,t200_ALon,8,32.1915,0.1529,1.9559,0.0987,0.6797,59.5200,True,True,kea3
control,2019-08-04,2019-08-04,tray5,24,diy_data\pimframes\control-20190804-tray5-24.tif,Fmp,t200_ALon,0,40.6348,0.1744,1.8342,0.0805,0.6594,78.3200,True,True,wt
control,2019-08-04,2019-08-04,tray5,24,diy_data\pimframes\control-20190804-tray5-24.tif,Fmp,t200_ALon,1,36.2919,0.1604,1.8505,0.0780,0.4954,59.6000,True,True,stn7
control,2019-08-04,2019-08-04,tray5,24,diy_data\pimframes\control-20190804-tray5-24.tif,Fmp,t200_ALon,2,35.5366,0.1741,2.0408,0.0884,0.9397,56.2800,True,True,stn7
control,2019-08-04,2019-08-04,tray5,24,diy_data\pimframes\control-20190804-tray5-24.tif,Fmp,t200_ALon,3,42.5043,0.1564,1.8524,0.0755,0.3969,83.1200,True,True,wt
control,2019-08-04,2019-08-04,tray5,24,diy_data\pimframes\control-20190804-tray5-24.tif,Fmp,t200_ALon,4,36.4489,0.1323,1.9848,0.0840,0.8704,43.4800,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,24,diy_data\pimframes\control-20190804-tray5-24.tif,Fmp,t200_ALon,5,39.5638,0.1625,1.9008,0.0821,0.7593,47.0400,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,24,diy_data\pimframes\control-20190804-tray5-24.tif,Fmp,t200_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-08-04,2019-08-04,tray5,24,diy_data\pimframes\control-20190804-tray5-24.tif,Fmp,t200_ALon,7,39.2867,0.1528,1.9461,0.0856,0.4390,72.2800,True,True,kea3
control,2019-08-04,2019-08-04,tray5,24,diy_data\pimframes\control-20190804-tray5-24.tif,Fmp,t200_ALon,8,37.8179,0.1529,1.9559,0.0987,0.6797,59.5200,True,True,kea3
control,2019-08-04,2019-08-04,tray5,25,diy_data\pimframes\control-20190804-tray5-25.tif,Fp,t220_ALon,0,32.6078,0.1843,1.8933,0.0786,0.7247,78.3200,True,True,wt
control,2019-08-04,2019-08-04,tray5,25,diy_data\pimframes\control-20190804-tray5-25.tif,Fp,t220_ALon,1,29.5919,0.1754,1.8754,0.0764,0.5553,59.6000,True,True,stn7
control,2019-08-04,2019-08-04,tray5,25,diy_data\pimframes\control-20190804-tray5-25.tif,Fp,t220_ALon,2,28.5558,0.1849,2.0886,0.0967,0.9654,56.2800,True,True,stn7
control,2019-08-04,2019-08-04,tray5,25,diy_data\pimframes\control-20190804-tray5-25.tif,Fp,t220_ALon,3,35.0274,0.1656,1.9007,0.0773,0.4636,83.1200,True,True,wt
control,2019-08-04,2019-08-04,tray5,25,diy_data\pimframes\control-20190804-tray5-25.tif,Fp,t220_ALon,4,30.9568,0.1445,1.9969,0.0889,0.7358,43.4800,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,25,diy_data\pimframes\control-20190804-tray5-25.tif,Fp,t220_ALon,5,32.3495,0.1764,1.9028,0.0863,0.6555,47.0400,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,25,diy_data\pimframes\control-20190804-tray5-25.tif,Fp,t220_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-08-04,2019-08-04,tray5,25,diy_data\pimframes\control-20190804-tray5-25.tif,Fp,t220_ALon,7,32.4444,0.1611,2.0046,0.0818,0.5659,72.2800,True,True,kea3
control,2019-08-04,2019-08-04,tray5,25,diy_data\pimframes\control-20190804-tray5-25.tif,Fp,t220_ALon,8,31.2809,0.1681,1.9785,0.1067,0.6155,59.5200,True,True,kea3
control,2019-08-04,2019-08-04,tray5,26,diy_data\pimframes\control-20190804-tray5-26.tif,Fmp,t220_ALon,0,40.0015,0.1843,1.8933,0.0786,0.7247,78.3200,True,True,wt
control,2019-08-04,2019-08-04,tray5,26,diy_data\pimframes\control-20190804-tray5-26.tif,Fmp,t220_ALon,1,36.0423,0.1754,1.8754,0.0764,0.5553,59.6000,True,True,stn7
control,2019-08-04,2019-08-04,tray5,26,diy_data\pimframes\control-20190804-tray5-26.tif,Fmp,t220_ALon,2,35.0149,0.1849,2.0886,0.0967,0.9654,56.2800,True,True,stn7
control,2019-08-04,2019-08-04,tray5,26,diy_data\pimframes\control-20190804-tray5-26.tif,Fmp,t220_ALon,3,41.9317,0.1656,1.9007,0.0773,0.4636,83.1200,True,True,wt
control,2019-08-04,2019-08-04,tray5,26,diy_data\pimframes\control-20190804-tray5-26.tif,Fmp,t220_ALon,4,36.1150,0.1445,1.9969,0.0889,0.7358,43.4800,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,26,diy_data\pimframes\control-20190804-tray5-26.tif,Fmp,t220_ALon,5,39.2560,0.1764,1.9028,0.0863,0.6555,47.0400,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,26,diy_data\pimframes\control-20190804-tray5-26.tif,Fmp,t220_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-08-04,2019-08-04,tray5,26,diy_data\pimframes\control-20190804-tray5-26.tif,Fmp,t220_ALon,7,38.7305,0.1611,2.0046,0.0818,0.5659,72.2800,True,True,kea3
control,2019-08-04,2019-08-04,tray5,26,diy_data\pimframes\control-20190804-tray5-26.tif,Fmp,t220_ALon,8,37.3434,0.1681,1.9785,0.1067,0.6155,59.5200,True,True,kea3
control,2019-08-04,2019-08-04,tray5,27,diy_data\pimframes\control-20190804-tray5-27.tif,Fp,t240_ALon,0,31.8636,0.1948,1.9303,0.0873,0.7610,78.3200,True,True,wt
control,2019-08-04,2019-08-04,tray5,27,diy_data\pimframes\control-20190804-tray5-27.tif,Fp,t240_ALon,1,28.7356,0.1896,1.9401,0.0829,0.7593,59.6000,True,True,stn7
control,2019-08-04,2019-08-04,tray5,27,diy_data\pimframes\control-20190804-tray5-27.tif,Fp,t240_ALon,2,27.8877,0.1905,2.1514,0.0864,1.2548,56.2800,True,True,stn7
control,2019-08-04,2019-08-04,tray5,27,diy_data\pimframes\control-20190804-tray5-27.tif,Fp,t240_ALon,3,34.1304,0.1797,1.9201,0.0791,0.3391,83.1200,True,True,wt
control,2019-08-04,2019-08-04,tray5,27,diy_data\pimframes\control-20190804-tray5-27.tif,Fp,t240_ALon,4,30.1592,0.1646,2.0337,0.0958,0.9006,43.4800,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,27,diy_data\pimframes\control-20190804-tray5-27.tif,Fp,t240_ALon,5,31.4660,0.1922,1.9572,0.0861,0.7646,47.0400,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,27,diy_data\pimframes\control-20190804-tray5-27.tif,Fp,t240_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-08-04,2019-08-04,tray5,27,diy_data\pimframes\control-20190804-tray5-27.tif,Fp,t240_ALon,7,31.5202,0.1811,2.0270,0.0868,0.6005,72.2800,True,True,kea3
control,2019-08-04,2019-08-04,tray5,27,diy_data\pimframes\control-20190804-tray5-27.tif,Fp,t240_ALon,8,30.4946,0.1775,2.0202,0.0992,0.6251,59.5200,True,True,kea3
control,2019-08-04,2019-08-04,tray5,28,diy_data\pimframes\control-20190804-tray5-28.tif,Fmp,t240_ALon,0,39.4964,0.1948,1.9303,0.0873,0.7610,78.3200,True,True,wt
control,2019-08-04,2019-08-04,tray5,28,diy_data\pimframes\control-20190804-tray5-28.tif,Fmp,t240_ALon,1,35.5852,0.1896,1.9401,0.0829,0.7593,59.6000,True,True,stn7
control,2019-08-04,2019-08-04,tray5,28,diy_data\pimframes\control-20190804-tray5-28.tif,Fmp,t240_ALon,2,34.5991,0.1905,2.1514,0.0864,1.2548,56.2800,True,True,stn7
control,2019-08-04,2019-08-04,tray5,28,diy_data\pimframes\control-20190804-tray5-28.tif,Fmp,t240_ALon,3,41.6107,0.1797,1.9201,0.0791,0.3391,83.1200,True,True,wt
control,2019-08-04,2019-08-04,tray5,28,diy_data\pimframes\control-20190804-tray5-28.tif,Fmp,t240_ALon,4,35.9522,0.1646,2.0337,0.0958,0.9006,43.4800,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,28,diy_data\pimframes\control-20190804-tray5-28.tif,Fmp,t240_ALon,5,39.0043,0.1922,1.9572,0.0861,0.7646,47.0400,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,28,diy_data\pimframes\control-20190804-tray5-28.tif,Fmp,t240_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-08-04,2019-08-04,tray5,28,diy_data\pimframes\control-20190804-tray5-28.tif,Fmp,t240_ALon,7,38.5390,0.1811,2.0270,0.0868,0.6005,72.2800,True,True,kea3
control,2019-08-04,2019-08-04,tray5,28,diy_data\pimframes\control-20190804-tray5-28.tif,Fmp,t240_ALon,8,36.9859,0.1775,2.0202,0.0992,0.6251,59.5200,True,True,kea3
control,2019-08-04,2019-08-04,tray5,29,diy_data\pimframes\control-20190804-tray5-29.tif,Fp,t260_ALon,0,31.1859,0.2052,1.9723,0.0855,0.9119,78.3200,True,True,wt
control,2019-08-04,2019-08-04,tray5,29,diy_data\pimframes\control-20190804-tray5-29.tif,Fp,t260_ALon,1,28.1470,0.1966,1.9658,0.0790,0.6993,59.6000,True,True,stn7
control,2019-08-04,2019-08-04,tray5,29,diy_data\pimframes\control-20190804-tray5-29.tif,Fp,t260_ALon,2,27.2310,0.2030,2.1603,0.0883,0.9819,56.2800,True,True,stn7
control,2019-08-04,2019-08-04,tray5,29,diy_data\pimframes\control-20190804-tray5-29.tif,Fp,t260_ALon,3,33.4163,0.1868,1.9767,0.0755,0.6250,83.1200,True,True,wt
control,2019-08-04,2019-08-04,tray5,29,diy_data\pimframes\control-20190804-tray5-29.tif,Fp,t260_ALon,4,29.5235,0.1717,2.0617,0.0848,0.9441,43.4800,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,29,diy_data\pimframes\control-20190804-tray5-29.tif,Fp,t260_ALon,5,30.7730,0.1965,2.0325,0.0821,1.0564,47.0400,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,29,diy_data\pimframes\control-20190804-tray5-29.tif,Fp,t260_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-08-04,2019-08-04,tray5,29,diy_data\pimframes\control-20190804-tray5-29.tif,Fp,t260_ALon,7,30.7786,0.1907,2.0620,0.0907,0.5392,72.2800,True,True,kea3
control,2019-08-04,2019-08-04,tray5,29,diy_data\pimframes\control-20190804-tray5-29.tif,Fp,t260_ALon,8,29.7392,0.1878,2.0673,0.1029,0.7158,59.5200,True,True,kea3
control,2019-08-04,2019-08-04,tray5,30,diy_data\pimframes\control-20190804-tray5-30.tif,Fmp,t260_ALon,0,39.2104,0.2052,1.9723,0.0855,0.9119,78.3200,True,True,wt
control,2019-08-04,2019-08-04,tray5,30,diy_data\pimframes\control-20190804-tray5-30.tif,Fmp,t260_ALon,1,35.2470,0.1966,1.9658,0.0790,0.6993,59.6000,True,True,stn7
control,2019-08-04,2019-08-04,tray5,30,diy_data\pimframes\control-20190804-tray5-30.tif,Fmp,t260_ALon,2,34.2914,0.2030,2.1603,0.0883,0.9819,56.2800,True,True,stn7
control,2019-08-04,2019-08-04,tray5,30,diy_data\pimframes\control-20190804-tray5-30.tif,Fmp,t260_ALon,3,41.1439,0.1868,1.9767,0.0755,0.6250,83.1200,True,True,wt
control,2019-08-04,2019-08-04,tray5,30,diy_data\pimframes\control-20190804-tray5-30.tif,Fmp,t260_ALon,4,35.6329,0.1717,2.0617,0.0848,0.9441,43.4800,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,30,diy_data\pimframes\control-20190804-tray5-30.tif,Fmp,t260_ALon,5,38.4379,0.1965,2.0325,0.0821,1.0564,47.0400,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,30,diy_data\pimframes\control-20190804-tray5-30.tif,Fmp,t260_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-08-04,2019-08-04,tray5,30,diy_data\pimframes\control-20190804-tray5-30.tif,Fmp,t260_ALon,7,38.0243,0.1907,2.0620,0.0907,0.5392,72.2800,True,True,kea3
control,2019-08-04,2019-08-04,tray5,30,diy_data\pimframes\control-20190804-tray5-30.tif,Fmp,t260_ALon,8,36.5874,0.1878,2.0673,0.1029,0.7158,59.5200,True,True,kea3
control,2019-08-04,2019-08-04,tray5,31,diy_data\pimframes\control-20190804-tray5-31.tif,Fp,t280_ALon,0,30.6328,0.2147,1.9778,0.0844,0.7687,78.3200,True,True,wt
control,2019-08-04,2019-08-04,tray5,31,diy_data\pimframes\control-20190804-tray5-31.tif,Fp,t280_ALon,1,27.4839,0.2070,2.0132,0.0817,0.7946,59.6000,True,True,stn7
control,2019-08-04,2019-08-04,tray5,31,diy_data\pimframes\control-20190804-tray5-31.tif,Fp,t280_ALon,2,26.7178,0.2097,2.1889,0.0904,0.9407,56.2800,True,True,stn7
control,2019-08-04,2019-08-04,tray5,31,diy_data\pimframes\control-20190804-tray5-31.tif,Fp,t280_ALon,3,32.7040,0.1945,2.0125,0.0807,0.5453,83.1200,True,True,wt
control,2019-08-04,2019-08-04,tray5,31,diy_data\pimframes\control-20190804-tray5-31.tif,Fp,t280_ALon,4,28.8289,0.1863,2.1896,0.0999,1.6897,43.4800,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,31,diy_data\pimframes\control-20190804-tray5-31.tif,Fp,t280_ALon,5,30.0357,0.2111,2.0895,0.0878,1.1907,47.0400,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,31,diy_data\pimframes\control-20190804-tray5-31.tif,Fp,t280_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-08-04,2019-08-04,tray5,31,diy_data\pimframes\control-20190804-tray5-31.tif,Fp,t280_ALon,7,30.1688,0.1975,2.0860,0.0864,0.6283,72.2800,True,True,kea3
control,2019-08-04,2019-08-04,tray5,31,diy_data\pimframes\control-20190804-tray5-31.tif,Fp,t280_ALon,8,29.0665,0.2006,2.1006,0.1013,0.7885,59.5200,True,True,kea3
control,2019-08-04,2019-08-04,tray5,32,diy_data\pimframes\control-20190804-tray5-32.tif,Fmp,t280_ALon,0,39.0163,0.2147,1.9778,0.0844,0.7687,78.3200,True,True,wt
control,2019-08-04,2019-08-04,tray5,32,diy_data\pimframes\control-20190804-tray5-32.tif,Fmp,t280_ALon,1,34.8631,0.2070,2.0132,0.0817,0.7946,59.6000,True,True,stn7
control,2019-08-04,2019-08-04,tray5,32,diy_data\pimframes\control-20190804-tray5-32.tif,Fmp,t280_ALon,2,33.8977,0.2097,2.1889,0.0904,0.9407,56.2800,True,True,stn7
control,2019-08-04,2019-08-04,tray5,32,diy_data\pimframes\control-20190804-tray5-32.tif,Fmp,t280_ALon,3,40.6396,0.1945,2.0125,0.0807,0.5453,83.1200,True,True,wt
control,2019-08-04,2019-08-04,tray5,32,diy_data\pimframes\control-20190804-tray5-32.tif,Fmp,t280_ALon,4,35.3321,0.1863,2.1896,0.0999,1.6897,43.4800,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,32,diy_data\pimframes\control-20190804-tray5-32.tif,Fmp,t280_ALon,5,38.1369,0.2111,2.0895,0.0878,1.1907,47.0400,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,32,diy_data\pimframes\control-20190804-tray5-32.tif,Fmp,t280_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-08-04,2019-08-04,tray5,32,diy_data\pimframes\control-20190804-tray5-32.tif,Fmp,t280_ALon,7,37.6336,0.1975,2.0860,0.0864,0.6283,72.2800,True,True,kea3
control,2019-08-04,2019-08-04,tray5,32,diy_data\pimframes\control-20190804-tray5-32.tif,Fmp,t280_ALon,8,36.3038,0.2006,2.1006,0.1013,0.7885,59.5200,True,True,kea3
control,2019-08-04,2019-08-04,tray5,33,diy_data\pimframes\control-20190804-tray5-33.tif,Fp,t300_ALon,0,30.2416,0.2195,1.9986,0.0910,0.7712,78.3200,True,True,wt
control,2019-08-04,2019-08-04,tray5,33,diy_data\pimframes\control-20190804-tray5-33.tif,Fp,t300_ALon,1,26.9510,0.2158,2.0252,0.0847,0.7989,59.6000,True,True,stn7
control,2019-08-04,2019-08-04,tray5,33,diy_data\pimframes\control-20190804-tray5-33.tif,Fp,t300_ALon,2,26.3518,0.2148,2.2702,0.0993,1.2936,56.2800,True,True,stn7
control,2019-08-04,2019-08-04,tray5,33,diy_data\pimframes\control-20190804-tray5-33.tif,Fp,t300_ALon,3,32.1829,0.2028,2.0353,0.0856,0.7667,83.1200,True,True,wt
control,2019-08-04,2019-08-04,tray5,33,diy_data\pimframes\control-20190804-tray5-33.tif,Fp,t300_ALon,4,28.3625,0.1910,2.1690,0.0952,1.1672,43.4800,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,33,diy_data\pimframes\control-20190804-tray5-33.tif,Fp,t300_ALon,5,29.5272,0.2216,2.0975,0.0964,1.2049,47.0400,True,True,vccn1
control,2019-08-04,2019-08-04,tray5,33,diy_data\pimframes\control-20190804-tray5-33.tif,Fp,t300_ALon,6,nan,nan,nan,nan,nan,0.0000,nan,True,nan
control,2019-08-04,2019-08-04,tray5,33,diy_data\pimframes\control-20190804-tray5-33.tif,Fp,t300_ALon,7,29.4106,0.2084,2.1299,0.0931,0.5596,72.2800,True,True,kea3
control,2019-08-04,2019-08-04,tray5,33,diy_data\pimframes\control-20190804-tray5-33.tif,Fp,t300_ALon,8,28.3911,0.2109,2.1280,0.1104,0.8600,59.5200,True,True,kea3
