treatment,date,jobdate,sampleid,imageid,filename,frame,parameter,roi,frame_avg,yii_avg,npq_avg,yii_std,npq_std,plantarea,obj_in_frame,unique_roi,gtype,idate,measurement
control,2019-07-31,2019-07-31,tray5,7,diy_data\pimframes\control-20190731-tray5-7.tif,Fp,t40_ALon,0,103.607,0.0048,0.0356,0.0164,0.0495,104.7375,TRUE,TRUE,WT,1,IndC
control,2019-07-31,2019-07-31,tray5,7,diy_data\pimframes\control-20190731-tray5-7.tif,Fp,t40_ALon,1,106.6009,0.0074,0.0326,0.0216,0.0478,84.4025,TRUE,TRUE,STN7,1,IndC
control,2019-07-31,2019-07-31,tray5,7,diy_data\pimframes\control-20190731-tray5-7.tif,Fp,t40_ALon,2,101.909,0.0062,0.0368,0.0155,0.0543,80.7275,TRUE,TRUE,STN7,1,IndC
control,2019-07-31,2019-07-31,tray5,7,diy_data\pimframes\control-20190731-tray5-7.tif,Fp,t40_ALon,3,109.3008,0.0045,0.037,0.0163,0.0481,92.855,TRUE,TRUE,WT,1,IndC
control,2019-07-31,2019-07-31,tray5,7,diy_data\pimframes\control-20190731-tray5-7.tif,Fp,t40_ALon,4,88.8657,0.005,0.0422,0.0187,0.0524,51.0825,TRUE,TRUE,VCCN1,1,IndC
control,2019-07-31,2019-07-31,tray5,7,diy_data\pimframes\control-20190731-tray5-7.tif,Fp,t40_ALon,5,97.866,0.0089,0.0442,0.0213,0.0675,61.25,TRUE,TRUE,VCCN1,1,IndC
control,2019-07-31,2019-07-31,tray5,7,diy_data\pimframes\control-20190731-tray5-7.tif,Fp,t40_ALon,7,100.3298,0.009,0.0392,0.0225,0.0552,91.385,TRUE,TRUE,KEA3,1,IndC
control,2019-07-31,2019-07-31,tray5,7,diy_data\pimframes\control-20190731-tray5-7.tif,Fp,t40_ALon,8,90.3531,0.0158,0.0458,0.0348,0.0829,64.19,TRUE,TRUE,KEA3,1,IndC
control,2019-07-31,2019-07-31,tray5,8,diy_data\pimframes\control-20190731-tray5-8.tif,Fmp,t40_ALon,0,101.7006,0.0048,0.0356,0.0164,0.0495,104.7375,TRUE,TRUE,WT,1,IndC
control,2019-07-31,2019-07-31,tray5,8,diy_data\pimframes\control-20190731-tray5-8.tif,Fmp,t40_ALon,1,104.9695,0.0074,0.0326,0.0216,0.0478,84.4025,TRUE,TRUE,STN7,1,IndC
control,2019-07-31,2019-07-31,tray5,8,diy_data\pimframes\control-20190731-tray5-8.tif,Fmp,t40_ALon,2,100.7253,0.0062,0.0368,0.0155,0.0543,80.7275,TRUE,TRUE,STN7,1,IndC
control,2019-07-31,2019-07-31,tray5,8,diy_data\pimframes\control-20190731-tray5-8.tif,Fmp,t40_ALon,3,107.1464,0.0045,0.037,0.0163,0.0481,92.855,TRUE,TRUE,WT,1,IndC
control,2019-07-31,2019-07-31,tray5,8,diy_data\pimframes\control-20190731-tray5-8.tif,Fmp,t40_ALon,4,87.0264,0.005,0.0422,0.0187,0.0524,51.0825,TRUE,TRUE,VCCN1,1,IndC
control,2019-07-31,2019-07-31,tray5,8,diy_data\pimframes\control-20190731-tray5-8.tif,Fmp,t40_ALon,5,96.942,0.0089,0.0442,0.0213,0.0675,61.25,TRUE,TRUE,VCCN1,1,IndC
control,2019-07-31,2019-07-31,tray5,8,diy_data\pimframes\control-20190731-tray5-8.tif,Fmp,t40_ALon,7,99.3525,0.009,0.0392,0.0225,0.0552,91.385,TRUE,TRUE,KEA3,1,IndC
control,2019-07-31,2019-07-31,tray5,8,diy_data\pimframes\control-20190731-tray5-8.tif,Fmp,t40_ALon,8,90.1527,0.0158,0.0458,0.0348,0.0829,64.19,TRUE,TRUE,KEA3,1,IndC
control,2019-07-31,2019-07-31,tray5,9,diy_data\pimframes\control-20190731-tray5-9.tif,Fp,t60_ALon,0,64.8152,0.0129,0.64,0.0263,0.1908,104.7375,TRUE,TRUE,WT,1,IndC
control,2019-07-31,2019-07-31,tray5,9,diy_data\pimframes\control-20190731-tray5-9.tif,Fp,t60_ALon,1,66.4107,0.014,0.637,0.0352,0.1838,84.4025,TRUE,TRUE,STN7,1,IndC
control,2019-07-31,2019-07-31,tray5,9,diy_data\pimframes\control-20190731-tray5-9.tif,Fp,t60_ALon,2,64.8452,0.0121,0.6317,0.0312,0.1833,80.7275,TRUE,TRUE,STN7,1,IndC
control,2019-07-31,2019-07-31,tray5,9,diy_data\pimframes\control-20190731-tray5-9.tif,Fp,t60_ALon,3,65.6504,0.0154,0.6944,0.0288,0.1972,92.855,TRUE,TRUE,WT,1,IndC
control,2019-07-31,2019-07-31,tray5,9,diy_data\pimframes\control-20190731-tray5-9.tif,Fp,t60_ALon,4,61.7194,0.017,0.48,0.0378,0.1766,51.0825,TRUE,TRUE,VCCN1,1,IndC
control,2019-07-31,2019-07-31,tray5,9,diy_data\pimframes\control-20190731-tray5-9.tif,Fp,t60_ALon,5,68.484,0.0185,0.4792,0.0332,0.1976,61.25,TRUE,TRUE,VCCN1,1,IndC
control,2019-07-31,2019-07-31,tray5,9,diy_data\pimframes\control-20190731-tray5-9.tif,Fp,t60_ALon,7,62,0.0263,0.6372,0.0431,0.1722,91.385,TRUE,TRUE,KEA3,1,IndC
control,2019-07-31,2019-07-31,tray5,9,diy_data\pimframes\control-20190731-tray5-9.tif,Fp,t60_ALon,8,55.6355,0.0312,0.6796,0.0456,0.5247,64.19,TRUE,TRUE,KEA3,1,IndC
control,2019-07-31,2019-07-31,tray5,10,diy_data\pimframes\control-20190731-tray5-10.tif,Fmp,t60_ALon,0,64.4994,0.0129,0.64,0.0263,0.1908,104.7375,TRUE,TRUE,WT,1,IndC
control,2019-07-31,2019-07-31,tray5,10,diy_data\pimframes\control-20190731-tray5-10.tif,Fmp,t60_ALon,1,65.6023,0.014,0.637,0.0352,0.1838,84.4025,TRUE,TRUE,STN7,1,IndC
control,2019-07-31,2019-07-31,tray5,10,diy_data\pimframes\control-20190731-tray5-10.tif,Fmp,t60_ALon,2,64.0683,0.0121,0.6317,0.0312,0.1833,80.7275,TRUE,TRUE,STN7,1,IndC
control,2019-07-31,2019-07-31,tray5,10,diy_data\pimframes\control-20190731-tray5-10.tif,Fmp,t60_ALon,3,65.5989,0.0154,0.6944,0.0288,0.1972,92.855,TRUE,TRUE,WT,1,IndC
control,2019-07-31,2019-07-31,tray5,10,diy_data\pimframes\control-20190731-tray5-10.tif,Fmp,t60_ALon,4,61.5516,0.017,0.48,0.0378,0.1766,51.0825,TRUE,TRUE,VCCN1,1,IndC
control,2019-07-31,2019-07-31,tray5,10,diy_data\pimframes\control-20190731-tray5-10.tif,Fmp,t60_ALon,5,68.92,0.0185,0.4792,0.0332,0.1976,61.25,TRUE,TRUE,VCCN1,1,IndC
control,2019-07-31,2019-07-31,tray5,10,diy_data\pimframes\control-20190731-tray5-10.tif,Fmp,t60_ALon,7,62.6635,0.0263,0.6372,0.0431,0.1722,91.385,TRUE,TRUE,KEA3,1,IndC
control,2019-07-31,2019-07-31,tray5,10,diy_data\pimframes\control-20190731-tray5-10.tif,Fmp,t60_ALon,8,56.6088,0.0312,0.6796,0.0456,0.5247,64.19,TRUE,TRUE,KEA3,1,IndC
control,2019-07-31,2019-07-31,tray5,11,diy_data\pimframes\control-20190731-tray5-11.tif,Fp,t80_ALon,0,48.1298,0.0449,1.1197,0.0468,0.2501,104.7375,TRUE,TRUE,WT,1,IndC
control,2019-07-31,2019-07-31,tray5,11,diy_data\pimframes\control-20190731-tray5-11.tif,Fp,t80_ALon,1,48.9782,0.0403,1.142,0.0489,0.261,84.4025,TRUE,TRUE,STN7,1,IndC
control,2019-07-31,2019-07-31,tray5,11,diy_data\pimframes\control-20190731-tray5-11.tif,Fp,t80_ALon,2,47.8619,0.0413,1.1398,0.0438,0.5355,80.7275,TRUE,TRUE,STN7,1,IndC
