treatment,date,jobdate,sampleid,imageid,filename,frame,parameter,roi,frame_avg,yii_avg,npq_avg,yii_std,npq_std,plantarea,obj_in_frame,unique_roi,gtype,idate,measurement
control,2019-08-01,2019-08-01,tray7,26,diy_data\pimframes\control-20190801-tray7-26.tif,Fmp,t220_ALon,8,29.8023,0.2068,1.9591,0.1017,0.5513,104.7375,TRUE,TRUE,KEA3,2,IndC
control,2019-08-01,2019-08-01,tray7,27,diy_data\pimframes\control-20190801-tray7-27.tif,Fp,t240_ALon,0,25.4743,0.1883,1.8755,0.0868,0.5178,71.54,TRUE,TRUE,WT,2,IndC
control,2019-08-01,2019-08-01,tray7,27,diy_data\pimframes\control-20190801-tray7-27.tif,Fp,t240_ALon,1,28.9921,0.1976,1.6211,0.0847,0.6182,77.7875,TRUE,TRUE,STN7,2,IndC
control,2019-08-01,2019-08-01,tray7,27,diy_data\pimframes\control-20190801-tray7-27.tif,Fp,t240_ALon,2,28.3805,0.2108,1.5613,0.0764,0.4778,105.595,TRUE,TRUE,STN7,2,IndC
control,2019-08-01,2019-08-01,tray7,27,diy_data\pimframes\control-20190801-tray7-27.tif,Fp,t240_ALon,3,26.0892,0.1573,2.126,0.0986,0.8283,89.3025,TRUE,TRUE,WT,2,IndC
control,2019-08-01,2019-08-01,tray7,27,diy_data\pimframes\control-20190801-tray7-27.tif,Fp,t240_ALon,4,25.6513,0.1798,1.8623,0.0909,0.6603,61.1275,TRUE,TRUE,VCCN1,2,IndC
control,2019-08-01,2019-08-01,tray7,27,diy_data\pimframes\control-20190801-tray7-27.tif,Fp,t240_ALon,5,27.1204,0.1923,1.6216,0.096,0.4457,52.92,TRUE,TRUE,VCCN1,2,IndC
control,2019-08-01,2019-08-01,tray7,27,diy_data\pimframes\control-20190801-tray7-27.tif,Fp,t240_ALon,7,24.7156,0.1992,2.052,0.0982,0.6372,109.3925,TRUE,TRUE,KEA3,2,IndC
control,2019-08-01,2019-08-01,tray7,27,diy_data\pimframes\control-20190801-tray7-27.tif,Fp,t240_ALon,8,23.1181,0.2168,2.035,0.1121,0.7149,104.7375,TRUE,TRUE,KEA3,2,IndC
control,2019-08-01,2019-08-01,tray7,28,diy_data\pimframes\control-20190801-tray7-28.tif,Fmp,t240_ALon,0,31.2842,0.1883,1.8755,0.0868,0.5178,71.54,TRUE,TRUE,WT,2,IndC
control,2019-08-01,2019-08-01,tray7,28,diy_data\pimframes\control-20190801-tray7-28.tif,Fmp,t240_ALon,1,36.189,0.1976,1.6211,0.0847,0.6182,77.7875,TRUE,TRUE,STN7,2,IndC
control,2019-08-01,2019-08-01,tray7,28,diy_data\pimframes\control-20190801-tray7-28.tif,Fmp,t240_ALon,2,36.0777,0.2108,1.5613,0.0764,0.4778,105.595,TRUE,TRUE,STN7,2,IndC
control,2019-08-01,2019-08-01,tray7,28,diy_data\pimframes\control-20190801-tray7-28.tif,Fmp,t240_ALon,3,30.8491,0.1573,2.126,0.0986,0.8283,89.3025,TRUE,TRUE,WT,2,IndC
control,2019-08-01,2019-08-01,tray7,28,diy_data\pimframes\control-20190801-tray7-28.tif,Fmp,t240_ALon,4,31.2385,0.1798,1.8623,0.0909,0.6603,61.1275,TRUE,TRUE,VCCN1,2,IndC
control,2019-08-01,2019-08-01,tray7,28,diy_data\pimframes\control-20190801-tray7-28.tif,Fmp,t240_ALon,5,33.5347,0.1923,1.6216,0.096,0.4457,52.92,TRUE,TRUE,VCCN1,2,IndC
control,2019-08-01,2019-08-01,tray7,28,diy_data\pimframes\control-20190801-tray7-28.tif,Fmp,t240_ALon,7,30.7704,0.1992,2.052,0.0982,0.6372,109.3925,TRUE,TRUE,KEA3,2,IndC
control,2019-08-01,2019-08-01,tray7,28,diy_data\pimframes\control-20190801-tray7-28.tif,Fmp,t240_ALon,8,29.4526,0.2168,2.035,0.1121,0.7149,104.7375,TRUE,TRUE,KEA3,2,IndC
control,2019-08-01,2019-08-01,tray7,29,diy_data\pimframes\control-20190801-tray7-29.tif,Fp,t260_ALon,0,24.8716,0.1858,1.9975,0.084,1.0312,71.54,TRUE,TRUE,WT,2,IndC
control,2019-08-01,2019-08-01,tray7,29,diy_data\pimframes\control-20190801-tray7-29.tif,Fp,t260_ALon,1,28.1701,0.2012,1.6637,0.0856,0.5208,77.7875,TRUE,TRUE,STN7,2,IndC
control,2019-08-01,2019-08-01,tray7,29,diy_data\pimframes\control-20190801-tray7-29.tif,Fp,t260_ALon,2,27.7111,0.2141,1.6386,0.0797,0.6154,105.595,TRUE,TRUE,STN7,2,IndC
control,2019-08-01,2019-08-01,tray7,29,diy_data\pimframes\control-20190801-tray7-29.tif,Fp,t260_ALon,3,25.4115,0.1637,2.1782,0.0843,0.838,89.3025,TRUE,TRUE,WT,2,IndC
control,2019-08-01,2019-08-01,tray7,29,diy_data\pimframes\control-20190801-tray7-29.tif,Fp,t260_ALon,4,24.9539,0.1822,1.9229,0.0788,0.5296,61.1275,TRUE,TRUE,VCCN1,2,IndC
control,2019-08-01,2019-08-01,tray7,29,diy_data\pimframes\control-20190801-tray7-29.tif,Fp,t260_ALon,5,26.1574,0.2018,1.72,0.0865,0.7621,52.92,TRUE,TRUE,VCCN1,2,IndC
control,2019-08-01,2019-08-01,tray7,29,diy_data\pimframes\control-20190801-tray7-29.tif,Fp,t260_ALon,7,23.9216,0.2006,2.1104,0.091,0.5092,109.3925,TRUE,TRUE,KEA3,2,IndC
control,2019-08-01,2019-08-01,tray7,29,diy_data\pimframes\control-20190801-tray7-29.tif,Fp,t260_ALon,8,22.3906,0.2271,2.0602,0.1046,0.7154,104.7375,TRUE,TRUE,KEA3,2,IndC
control,2019-08-01,2019-08-01,tray7,30,diy_data\pimframes\control-20190801-tray7-30.tif,Fmp,t260_ALon,0,30.6421,0.1858,1.9975,0.084,1.0312,71.54,TRUE,TRUE,WT,2,IndC
control,2019-08-01,2019-08-01,tray7,30,diy_data\pimframes\control-20190801-tray7-30.tif,Fmp,t260_ALon,1,35.4803,0.2012,1.6637,0.0856,0.5208,77.7875,TRUE,TRUE,STN7,2,IndC
control,2019-08-01,2019-08-01,tray7,30,diy_data\pimframes\control-20190801-tray7-30.tif,Fmp,t260_ALon,2,35.507,0.2141,1.6386,0.0797,0.6154,105.595,TRUE,TRUE,STN7,2,IndC
control,2019-08-01,2019-08-01,tray7,30,diy_data\pimframes\control-20190801-tray7-30.tif,Fmp,t260_ALon,3,30.3896,0.1637,2.1782,0.0843,0.838,89.3025,TRUE,TRUE,WT,2,IndC
control,2019-08-01,2019-08-01,tray7,30,diy_data\pimframes\control-20190801-tray7-30.tif,Fmp,t260_ALon,4,30.521,0.1822,1.9229,0.0788,0.5296,61.1275,TRUE,TRUE,VCCN1,2,IndC
control,2019-08-01,2019-08-01,tray7,30,diy_data\pimframes\control-20190801-tray7-30.tif,Fmp,t260_ALon,5,32.8102,0.2018,1.72,0.0865,0.7621,52.92,TRUE,TRUE,VCCN1,2,IndC
control,2019-08-01,2019-08-01,tray7,30,diy_data\pimframes\control-20190801-tray7-30.tif,Fmp,t260_ALon,7,29.8914,0.2006,2.1104,0.091,0.5092,109.3925,TRUE,TRUE,KEA3,2,IndC
control,2019-08-01,2019-08-01,tray7,30,diy_data\pimframes\control-20190801-tray7-30.tif,Fmp,t260_ALon,8,28.8982,0.2271,2.0602,0.1046,0.7154,104.7375,TRUE,TRUE,KEA3,2,IndC
control,2019-08-01,2019-08-01,tray7,31,diy_data\pimframes\control-20190801-tray7-31.tif,Fp,t280_ALon,0,24.3116,0.1942,1.9992,0.0926,0.7197,71.54,TRUE,TRUE,WT,2,IndC
control,2019-08-01,2019-08-01,tray7,31,diy_data\pimframes\control-20190801-tray7-31.tif,Fp,t280_ALon,1,27.3449,0.2161,1.7212,0.0836,0.7229,77.7875,TRUE,TRUE,STN7,2,IndC
control,2019-08-01,2019-08-01,tray7,31,diy_data\pimframes\control-20190801-tray7-31.tif,Fp,t280_ALon,2,26.9733,0.2262,1.6787,0.0822,0.662,105.595,TRUE,TRUE,STN7,2,IndC
control,2019-08-01,2019-08-01,tray7,31,diy_data\pimframes\control-20190801-tray7-31.tif,Fp,t280_ALon,3,24.6433,0.1817,2.2532,0.0964,1.0228,89.3025,TRUE,TRUE,WT,2,IndC
control,2019-08-01,2019-08-01,tray7,31,diy_data\pimframes\control-20190801-tray7-31.tif,Fp,t280_ALon,4,24.3066,0.1921,2.0011,0.0837,0.9683,61.1275,TRUE,TRUE,VCCN1,2,IndC
control,2019-08-01,2019-08-01,tray7,31,diy_data\pimframes\control-20190801-tray7-31.tif,Fp,t280_ALon,5,25.4444,0.2131,1.7075,0.0898,0.447,52.92,TRUE,TRUE,VCCN1,2,IndC
control,2019-08-01,2019-08-01,tray7,31,diy_data\pimframes\control-20190801-tray7-31.tif,Fp,t280_ALon,7,23.1825,0.2144,2.1867,0.0959,0.6789,109.3925,TRUE,TRUE,KEA3,2,IndC
control,2019-08-01,2019-08-01,tray7,31,diy_data\pimframes\control-20190801-tray7-31.tif,Fp,t280_ALon,8,21.807,0.2319,2.125,0.1025,0.6783,104.7375,TRUE,TRUE,KEA3,2,IndC
control,2019-08-01,2019-08-01,tray7,32,diy_data\pimframes\control-20190801-tray7-32.tif,Fmp,t280_ALon,0,30.2192,0.1942,1.9992,0.0926,0.7197,71.54,TRUE,TRUE,WT,2,IndC
control,2019-08-01,2019-08-01,tray7,32,diy_data\pimframes\control-20190801-tray7-32.tif,Fmp,t280_ALon,1,34.9606,0.2161,1.7212,0.0836,0.7229,77.7875,TRUE,TRUE,STN7,2,IndC
control,2019-08-01,2019-08-01,tray7,32,diy_data\pimframes\control-20190801-tray7-32.tif,Fmp,t280_ALon,2,35.0278,0.2262,1.6787,0.0822,0.662,105.595,TRUE,TRUE,STN7,2,IndC
control,2019-08-01,2019-08-01,tray7,32,diy_data\pimframes\control-20190801-tray7-32.tif,Fmp,t280_ALon,3,30.0316,0.1817,2.2532,0.0964,1.0228,89.3025,TRUE,TRUE,WT,2,IndC
control,2019-08-01,2019-08-01,tray7,32,diy_data\pimframes\control-20190801-tray7-32.tif,Fmp,t280_ALon,4,30.0862,0.1921,2.0011,0.0837,0.9683,61.1275,TRUE,TRUE,VCCN1,2,IndC
control,2019-08-01,2019-08-01,tray7,32,diy_data\pimframes\control-20190801-tray7-32.tif,Fmp,t280_ALon,5,32.2106,0.2131,1.7075,0.0898,0.447,52.92,TRUE,TRUE,VCCN1,2,IndC
control,2019-08-01,2019-08-01,tray7,32,diy_data\pimframes\control-20190801-tray7-32.tif,Fmp,t280_ALon,7,29.4927,0.2144,2.1867,0.0959,0.6789,109.3925,TRUE,TRUE,KEA3,2,IndC
control,2019-08-01,2019-08-01,tray7,32,diy_data\pimframes\control-20190801-tray7-32.tif,Fmp,t280_ALon,8,28.4971,0.2319,2.125,0.1025,0.6783,104.7375,TRUE,TRUE,KEA3,2,IndC
control,2019-08-01,2019-08-01,tray7,33,diy_data\pimframes\control-20190801-tray7-33.tif,Fp,t300_ALon,0,23.5634,0.2193,1.9946,0.0922,0.6211,71.54,TRUE,TRUE,WT,2,IndC
control,2019-08-01,2019-08-01,tray7,33,diy_data\pimframes\control-20190801-tray7-33.tif,Fp,t300_ALon,1,26.5165,0.2293,1.7719,0.0816,0.8431,77.7875,TRUE,TRUE,STN7,2,IndC
control,2019-08-01,2019-08-01,tray7,33,diy_data\pimframes\control-20190801-tray7-33.tif,Fp,t300_ALon,2,26.2065,0.2436,1.694,0.087,0.5888,105.595,TRUE,TRUE,STN7,2,IndC
control,2019-08-01,2019-08-01,tray7,33,diy_data\pimframes\control-20190801-tray7-33.tif,Fp,t300_ALon,3,24.1797,0.1791,2.3542,0.0948,1.2883,89.3025,TRUE,TRUE,WT,2,IndC
control,2019-08-01,2019-08-01,tray7,33,diy_data\pimframes\control-20190801-tray7-33.tif,Fp,t300_ALon,4,23.6433,0.2078,2.0149,0.0979,0.7417,61.1275,TRUE,TRUE,VCCN1,2,IndC
control,2019-08-01,2019-08-01,tray7,33,diy_data\pimframes\control-20190801-tray7-33.tif,Fp,t300_ALon,5,24.7106,0.2184,1.8187,0.0902,0.9778,52.92,TRUE,TRUE,VCCN1,2,IndC
control,2019-08-01,2019-08-01,tray7,33,diy_data\pimframes\control-20190801-tray7-33.tif,Fp,t300_ALon,7,22.5174,0.219,2.2489,0.0935,0.5592,109.3925,TRUE,TRUE,KEA3,2,IndC
control,2019-08-01,2019-08-01,tray7,33,diy_data\pimframes\control-20190801-tray7-33.tif,Fp,t300_ALon,8,21.3474,0.2372,2.212,0.1003,1.1203,104.7375,TRUE,TRUE,KEA3,2,IndC
control,2019-08-01,2019-08-01,tray7,34,diy_data\pimframes\control-20190801-tray7-34.tif,Fmp,t300_ALon,0,30.0171,0.2193,1.9946,0.0922,0.6211,71.54,TRUE,TRUE,WT,2,IndC
control,2019-08-01,2019-08-01,tray7,34,diy_data\pimframes\control-20190801-tray7-34.tif,Fmp,t300_ALon,1,34.5024,0.2293,1.7719,0.0816,0.8431,77.7875,TRUE,TRUE,STN7,2,IndC
control,2019-08-01,2019-08-01,tray7,34,diy_data\pimframes\control-20190801-tray7-34.tif,Fmp,t300_ALon,2,34.681,0.2436,1.694,0.087,0.5888,105.595,TRUE,TRUE,STN7,2,IndC
control,2019-08-01,2019-08-01,tray7,34,diy_data\pimframes\control-20190801-tray7-34.tif,Fmp,t300_ALon,3,29.5103,0.1791,2.3542,0.0948,1.2883,89.3025,TRUE,TRUE,WT,2,IndC
control,2019-08-01,2019-08-01,tray7,34,diy_data\pimframes\control-20190801-tray7-34.tif,Fmp,t300_ALon,4,29.8236,0.2078,2.0149,0.0979,0.7417,61.1275,TRUE,TRUE,VCCN1,2,IndC
control,2019-08-01,2019-08-01,tray7,34,diy_data\pimframes\control-20190801-tray7-34.tif,Fmp,t300_ALon,5,31.7106,0.2184,1.8187,0.0902,0.9778,52.92,TRUE,TRUE,VCCN1,2,IndC
control,2019-08-01,2019-08-01,tray7,34,diy_data\pimframes\control-20190801-tray7-34.tif,Fmp,t300_ALon,7,28.8623,0.219,2.2489,0.0935,0.5592,109.3925,TRUE,TRUE,KEA3,2,IndC
control,2019-08-01,2019-08-01,tray7,34,diy_data\pimframes\control-20190801-tray7-34.tif,Fmp,t300_ALon,8,28.0936,0.2372,2.212,0.1003,1.1203,104.7375,TRUE,TRUE,KEA3,2,IndC
control,2019-08-02,2019-08-02,tray5,1,diy_data\pimframes\control-20190802-tray5-1.tif,Fo,FvFm,0,25.2052,0.7406,0,0.0366,0,137.935,TRUE,TRUE,WT,3,FvFm
control,2019-08-02,2019-08-02,tray5,1,diy_data\pimframes\control-20190802-tray5-1.tif,Fo,FvFm,1,24.5176,0.7287,0,0.0631,0,107.9225,TRUE,TRUE,STN7,3,FvFm
control,2019-08-02,2019-08-02,tray5,1,diy_data\pimframes\control-20190802-tray5-1.tif,Fo,FvFm,2,23.6803,0.7416,0,0.0384,0,95.795,TRUE,TRUE,STN7,3,FvFm
control,2019-08-02,2019-08-02,tray5,1,diy_data\pimframes\control-20190802-tray5-1.tif,Fo,FvFm,3,26.5422,0.7431,0,0.0281,0,134.8725,TRUE,TRUE,WT,3,FvFm
control,2019-08-02,2019-08-02,tray5,1,diy_data\pimframes\control-20190802-tray5-1.tif,Fo,FvFm,4,24.8131,0.7383,0,0.0289,0,63.5775,TRUE,TRUE,VCCN1,3,FvFm
control,2019-08-02,2019-08-02,tray5,1,diy_data\pimframes\control-20190802-tray5-1.tif,Fo,FvFm,5,24.8536,0.7442,0,0.0298,0,69.4575,TRUE,TRUE,VCCN1,3,FvFm
control,2019-08-02,2019-08-02,tray5,1,diy_data\pimframes\control-20190802-tray5-1.tif,Fo,FvFm,7,20.5457,0.7442,0,0.0416,0,120.54,TRUE,TRUE,KEA3,3,FvFm
control,2019-08-02,2019-08-02,tray5,1,diy_data\pimframes\control-20190802-tray5-1.tif,Fo,FvFm,8,20.8046,0.7521,0,0.035,0,89.67,TRUE,TRUE,KEA3,3,FvFm
control,2019-08-02,2019-08-02,tray5,2,diy_data\pimframes\control-20190802-tray5-2.tif,Fm,FvFm,0,96.7282,0.7406,0,0.0366,0,137.935,TRUE,TRUE,WT,3,FvFm
control,2019-08-02,2019-08-02,tray5,2,diy_data\pimframes\control-20190802-tray5-2.tif,Fm,FvFm,1,92.2338,0.7287,0,0.0631,0,107.9225,TRUE,TRUE,STN7,3,FvFm
control,2019-08-02,2019-08-02,tray5,2,diy_data\pimframes\control-20190802-tray5-2.tif,Fm,FvFm,2,91.6113,0.7416,0,0.0384,0,95.795,TRUE,TRUE,STN7,3,FvFm
control,2019-08-02,2019-08-02,tray5,2,diy_data\pimframes\control-20190802-tray5-2.tif,Fm,FvFm,3,102.8129,0.7431,0,0.0281,0,134.8725,TRUE,TRUE,WT,3,FvFm
control,2019-08-02,2019-08-02,tray5,2,diy_data\pimframes\control-20190802-tray5-2.tif,Fm,FvFm,4,94.3198,0.7383,0,0.0289,0,63.5775,TRUE,TRUE,VCCN1,3,FvFm
control,2019-08-02,2019-08-02,tray5,2,diy_data\pimframes\control-20190802-tray5-2.tif,Fm,FvFm,5,95.7707,0.7442,0,0.0298,0,69.4575,TRUE,TRUE,VCCN1,3,FvFm
control,2019-08-02,2019-08-02,tray5,2,diy_data\pimframes\control-20190802-tray5-2.tif,Fm,FvFm,7,80.6626,0.7442,0,0.0416,0,120.54,TRUE,TRUE,KEA3,3,FvFm
control,2019-08-02,2019-08-02,tray5,2,diy_data\pimframes\control-20190802-tray5-2.tif,Fm,FvFm,8,83.9085,0.7521,0,0.035,0,89.67,TRUE,TRUE,KEA3,3,FvFm
control,2019-08-02,2019-08-02,tray5,7,diy_data\pimframes\control-20190802-tray5-7.tif,Fp,t40_ALon,0,95.7886,0.0074,0.0455,0.0236,0.1132,137.935,TRUE,TRUE,WT,3,IndC
control,2019-08-02,2019-08-02,tray5,7,diy_data\pimframes\control-20190802-tray5-7.tif,Fp,t40_ALon,1,91.6958,0.0109,0.0362,0.0287,0.0497,107.9225,TRUE,TRUE,STN7,3,IndC
control,2019-08-02,2019-08-02,tray5,7,diy_data\pimframes\control-20190802-tray5-7.tif,Fp,t40_ALon,2,90.6739,0.0086,0.0416,0.0218,0.1192,95.795,TRUE,TRUE,STN7,3,IndC
control,2019-08-02,2019-08-02,tray5,7,diy_data\pimframes\control-20190802-tray5-7.tif,Fp,t40_ALon,3,102.0854,0.0052,0.0353,0.0148,0.0363,134.8725,TRUE,TRUE,WT,3,IndC
control,2019-08-02,2019-08-02,tray5,7,diy_data\pimframes\control-20190802-tray5-7.tif,Fp,t40_ALon,4,93.6378,0.0058,0.0364,0.0172,0.0546,63.5775,TRUE,TRUE,VCCN1,3,IndC
control,2019-08-02,2019-08-02,tray5,7,diy_data\pimframes\control-20190802-tray5-7.tif,Fp,t40_ALon,5,93.6067,0.0109,0.0392,0.0223,0.05,69.4575,TRUE,TRUE,VCCN1,3,IndC
control,2019-08-02,2019-08-02,tray5,7,diy_data\pimframes\control-20190802-tray5-7.tif,Fp,t40_ALon,7,78.7266,0.0174,0.0377,0.0352,0.0521,120.54,TRUE,TRUE,KEA3,3,IndC
control,2019-08-02,2019-08-02,tray5,7,diy_data\pimframes\control-20190802-tray5-7.tif,Fp,t40_ALon,8,81.1489,0.0205,0.0433,0.0366,0.0597,89.67,TRUE,TRUE,KEA3,3,IndC
control,2019-08-02,2019-08-02,tray5,8,diy_data\pimframes\control-20190802-tray5-8.tif,Fmp,t40_ALon,0,93.635,0.0074,0.0455,0.0236,0.1132,137.935,TRUE,TRUE,WT,3,IndC
control,2019-08-02,2019-08-02,tray5,8,diy_data\pimframes\control-20190802-tray5-8.tif,Fmp,t40_ALon,1,90.0272,0.0109,0.0362,0.0287,0.0497,107.9225,TRUE,TRUE,STN7,3,IndC
control,2019-08-02,2019-08-02,tray5,8,diy_data\pimframes\control-20190802-tray5-8.tif,Fmp,t40_ALon,2,89.2353,0.0086,0.0416,0.0218,0.1192,95.795,TRUE,TRUE,STN7,3,IndC
control,2019-08-02,2019-08-02,tray5,8,diy_data\pimframes\control-20190802-tray5-8.tif,Fmp,t40_ALon,3,99.8011,0.0052,0.0353,0.0148,0.0363,134.8725,TRUE,TRUE,WT,3,IndC
control,2019-08-02,2019-08-02,tray5,8,diy_data\pimframes\control-20190802-tray5-8.tif,Fmp,t40_ALon,4,91.5896,0.0058,0.0364,0.0172,0.0546,63.5775,TRUE,TRUE,VCCN1,3,IndC
control,2019-08-02,2019-08-02,tray5,8,diy_data\pimframes\control-20190802-tray5-8.tif,Fmp,t40_ALon,5,92.7407,0.0109,0.0392,0.0223,0.05,69.4575,TRUE,TRUE,VCCN1,3,IndC
control,2019-08-02,2019-08-02,tray5,8,diy_data\pimframes\control-20190802-tray5-8.tif,Fmp,t40_ALon,7,78.5325,0.0174,0.0377,0.0352,0.0521,120.54,TRUE,TRUE,KEA3,3,IndC
control,2019-08-02,2019-08-02,tray5,8,diy_data\pimframes\control-20190802-tray5-8.tif,Fmp,t40_ALon,8,81.3415,0.0205,0.0433,0.0366,0.0597,89.67,TRUE,TRUE,KEA3,3,IndC
control,2019-08-02,2019-08-02,tray5,9,diy_data\pimframes\control-20190802-tray5-9.tif,Fp,t60_ALon,0,53.6874,0.024,0.8251,0.039,0.2948,137.935,TRUE,TRUE,WT,3,IndC
control,2019-08-02,2019-08-02,tray5,9,diy_data\pimframes\control-20190802-tray5-9.tif,Fp,t60_ALon,1,53.3575,0.0245,0.7404,0.0471,0.311,107.9225,TRUE,TRUE,STN7,3,IndC
control,2019-08-02,2019-08-02,tray5,9,diy_data\pimframes\control-20190802-tray5-9.tif,Fp,t60_ALon,2,51.7059,0.0277,0.8002,0.0463,0.3699,95.795,TRUE,TRUE,STN7,3,IndC
control,2019-08-02,2019-08-02,tray5,9,diy_data\pimframes\control-20190802-tray5-9.tif,Fp,t60_ALon,3,58.2934,0.0223,0.7818,0.0461,0.2604,134.8725,TRUE,TRUE,WT,3,IndC
control,2019-08-02,2019-08-02,tray5,9,diy_data\pimframes\control-20190802-tray5-9.tif,Fp,t60_ALon,4,60.5665,0.0192,0.587,0.037,0.2334,63.5775,TRUE,TRUE,VCCN1,3,IndC
control,2019-08-02,2019-08-02,tray5,9,diy_data\pimframes\control-20190802-tray5-9.tif,Fp,t60_ALon,5,60.8607,0.0283,0.5774,0.054,0.262,69.4575,TRUE,TRUE,VCCN1,3,IndC
control,2019-08-02,2019-08-02,tray5,9,diy_data\pimframes\control-20190802-tray5-9.tif,Fp,t60_ALon,7,47.0467,0.0302,0.7228,0.0527,0.2987,120.54,TRUE,TRUE,KEA3,3,IndC
control,2019-08-02,2019-08-02,tray5,9,diy_data\pimframes\control-20190802-tray5-9.tif,Fp,t60_ALon,8,47.7281,0.0342,0.7532,0.0508,0.2924,89.67,TRUE,TRUE,KEA3,3,IndC
control,2019-08-02,2019-08-02,tray5,10,diy_data\pimframes\control-20190802-tray5-10.tif,Fmp,t60_ALon,0,53.8224,0.024,0.8251,0.039,0.2948,137.935,TRUE,TRUE,WT,3,IndC
control,2019-08-02,2019-08-02,tray5,10,diy_data\pimframes\control-20190802-tray5-10.tif,Fmp,t60_ALon,1,53.2463,0.0245,0.7404,0.0471,0.311,107.9225,TRUE,TRUE,STN7,3,IndC
control,2019-08-02,2019-08-02,tray5,10,diy_data\pimframes\control-20190802-tray5-10.tif,Fmp,t60_ALon,2,51.968,0.0277,0.8002,0.0463,0.3699,95.795,TRUE,TRUE,STN7,3,IndC
control,2019-08-02,2019-08-02,tray5,10,diy_data\pimframes\control-20190802-tray5-10.tif,Fmp,t60_ALon,3,58.3842,0.0223,0.7818,0.0461,0.2604,134.8725,TRUE,TRUE,WT,3,IndC
control,2019-08-02,2019-08-02,tray5,10,diy_data\pimframes\control-20190802-tray5-10.tif,Fmp,t60_ALon,4,60.3873,0.0192,0.587,0.037,0.2334,63.5775,TRUE,TRUE,VCCN1,3,IndC
control,2019-08-02,2019-08-02,tray5,10,diy_data\pimframes\control-20190802-tray5-10.tif,Fmp,t60_ALon,5,61.3862,0.0283,0.5774,0.054,0.262,69.4575,TRUE,TRUE,VCCN1,3,IndC
control,2019-08-02,2019-08-02,tray5,10,diy_data\pimframes\control-20190802-tray5-10.tif,Fmp,t60_ALon,7,47.437,0.0302,0.7228,0.0527,0.2987,120.54,TRUE,TRUE,KEA3,3,IndC
control,2019-08-02,2019-08-02,tray5,10,diy_data\pimframes\control-20190802-tray5-10.tif,Fmp,t60_ALon,8,48.4481,0.0342,0.7532,0.0508,0.2924,89.67,TRUE,TRUE,KEA3,3,IndC
control,2019-08-02,2019-08-02,tray5,11,diy_data\pimframes\control-20190802-tray5-11.tif,Fp,t80_ALon,0,41.873,0.0544,1.2607,0.0749,0.3493,137.935,TRUE,TRUE,WT,3,IndC
control,2019-08-02,2019-08-02,tray5,11,diy_data\pimframes\control-20190802-tray5-11.tif,Fp,t80_ALon,1,40.1521,0.0476,1.2551,0.0664,0.4416,107.9225,TRUE,TRUE,STN7,3,IndC
control,2019-08-02,2019-08-02,tray5,11,diy_data\pimframes\control-20190802-tray5-11.tif,Fp,t80_ALon,2,38.8159,0.0583,1.2862,0.0693,0.3334,95.795,TRUE,TRUE,STN7,3,IndC
control,2019-08-02,2019-08-02,tray5,11,diy_data\pimframes\control-20190802-tray5-11.tif,Fp,t80_ALon,3,44.7802,0.0442,1.2565,0.0549,0.3179,134.8725,TRUE,TRUE,WT,3,IndC
control,2019-08-02,2019-08-02,tray5,11,diy_data\pimframes\control-20190802-tray5-11.tif,Fp,t80_ALon,4,46.4355,0.0425,1.0213,0.0534,0.3551,63.5775,TRUE,TRUE,VCCN1,3,IndC
control,2019-08-02,2019-08-02,tray5,11,diy_data\pimframes\control-20190802-tray5-11.tif,Fp,t80_ALon,5,46.6279,0.0517,1.0071,0.053900000000000003,0.351,69.4575,TRUE,TRUE,VCCN1,3,IndC
control,2019-08-02,2019-08-02,tray5,11,diy_data\pimframes\control-20190802-tray5-11.tif,Fp,t80_ALon,7,36.7043,0.0512,1.1578,0.0603,0.4145,120.54,TRUE,TRUE,KEA3,3,IndC
control,2019-08-02,2019-08-02,tray5,11,diy_data\pimframes\control-20190802-tray5-11.tif,Fp,t80_ALon,8,36.4249,0.0677,1.2066,0.0757,0.3321,89.67,TRUE,TRUE,KEA3,3,IndC
control,2019-08-02,2019-08-02,tray5,12,diy_data\pimframes\control-20190802-tray5-12.tif,Fmp,t80_ALon,0,43.4911,0.0544,1.2607,0.0749,0.3493,137.935,TRUE,TRUE,WT,3,IndC
control,2019-08-02,2019-08-02,tray5,12,diy_data\pimframes\control-20190802-tray5-12.tif,Fmp,t80_ALon,1,41.3973,0.0476,1.2551,0.0664,0.4416,107.9225,TRUE,TRUE,STN7,3,IndC
control,2019-08-02,2019-08-02,tray5,12,diy_data\pimframes\control-20190802-tray5-12.tif,Fmp,t80_ALon,2,40.6113,0.0583,1.2862,0.0693,0.3334,95.795,TRUE,TRUE,STN7,3,IndC
control,2019-08-02,2019-08-02,tray5,12,diy_data\pimframes\control-20190802-tray5-12.tif,Fmp,t80_ALon,3,46.238,0.0442,1.2565,0.0549,0.3179,134.8725,TRUE,TRUE,WT,3,IndC
control,2019-08-02,2019-08-02,tray5,12,diy_data\pimframes\control-20190802-tray5-12.tif,Fmp,t80_ALon,4,47.9056,0.0425,1.0213,0.0534,0.3551,63.5775,TRUE,TRUE,VCCN1,3,IndC
control,2019-08-02,2019-08-02,tray5,12,diy_data\pimframes\control-20190802-tray5-12.tif,Fmp,t80_ALon,5,48.6702,0.0517,1.0071,0.053900000000000003,0.351,69.4575,TRUE,TRUE,VCCN1,3,IndC
